Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,53:00,15,25,.600,1,6,.167,1,3,.333,0,7,7,7,2,1,5,4,32,+1
hughela01,50:22,3,17,.176,1,4,.250,2,2,1.000,1,2,3,12,4,0,4,5,9,+3
snower01,32:10,2,8,.250,0,1,.000,4,4,1.000,0,4,4,1,2,0,2,4,8,-9
ilgauzy01,21:00,2,4,.500,0,0,,2,2,1.000,3,2,5,0,1,2,2,4,6,-14
goodedr01,13:05,0,1,.000,0,0,,2,2,1.000,1,2,3,0,0,0,0,2,2,-11
marshdo01,39:30,11,15,.733,4,7,.571,2,4,.500,1,7,8,1,0,0,1,2,28,+16
murraro01,38:03,7,12,.583,1,1,1.000,6,6,1.000,1,3,4,2,0,0,0,4,21,+16
varejan01,17:36,2,2,1.000,0,0,,2,3,.667,2,8,10,1,2,0,0,5,6,+1
jonesda01,0:14,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+2
Team Totals,265,43,85,.506,7,19,.368,21,26,.808,9,35,44,24,11,3,14,30,114,
Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
arenagi01,53:00,14,27,.519,4,8,.500,4,8,.500,1,4,5,11,2,0,3,2,36,-1
butleca01,52:15,5,18,.278,0,2,.000,8,8,1.000,6,14,20,5,1,0,3,5,18,-4
jamisan01,40:06,6,17,.353,1,6,.167,2,2,1.000,2,2,4,5,2,0,2,5,15,+8
jeffrja01,36:16,0,3,.000,0,0,,3,4,.750,3,3,6,3,0,1,1,4,3,+5
haywobr01,27:50,7,8,.875,0,0,,3,5,.600,4,0,4,1,0,2,2,3,17,+9
daniean01,41:19,8,15,.533,2,4,.500,4,4,1.000,1,2,3,2,1,0,4,2,22,-10
ruffimi01,9:45,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,0,0,0,-12
thomaet01,4:29,1,2,.500,0,0,,0,0,,0,2,2,0,0,1,0,1,2,0
Team Totals,265,41,90,.456,7,20,.350,24,33,.727,17,28,45,27,6,4,15,22,113,
