Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
princta01,45:46,4,11,.364,0,2,.000,7,8,.875,1,6,7,4,1,0,4,3,15,-1
billuch01,45:03,6,16,.375,2,9,.222,9,10,.900,2,7,9,2,1,0,5,3,23,+2
wallara01,40:33,4,10,.400,0,4,.000,1,2,.500,0,5,5,1,3,3,1,4,9,-1
hamilri01,36:55,9,21,.429,0,0,,1,2,.500,4,4,8,2,0,0,0,3,19,-9
webbech01,20:07,1,3,.333,0,0,,0,2,.000,0,3,3,1,2,0,1,2,2,+2
mcdyean01,23:50,5,9,.556,0,0,,2,3,.667,3,2,5,3,0,2,0,3,12,+2
maxieja01,11:10,1,2,.500,0,0,,2,2,1.000,0,1,1,0,0,1,0,2,4,-11
hunteli01,7:25,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,0,3,3,+3
murraro01,6:57,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-4
delfica01,2:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-3
Team Totals,240,31,75,.413,3,17,.176,22,29,.759,10,30,40,16,7,6,12,24,87,
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,44:17,8,19,.421,1,5,.200,8,9,.889,0,7,7,11,3,0,3,0,25,-4
pavloal01,39:56,2,7,.286,1,2,.500,0,0,,0,3,3,2,1,0,0,3,5,+1
ilgauzy01,32:46,3,7,.429,0,0,,3,4,.750,1,6,7,0,0,0,3,2,9,+7
goodedr01,31:32,8,14,.571,0,0,,3,4,.750,1,7,8,0,1,1,1,3,19,-3
hughela01,16:25,1,6,.167,0,0,,0,0,,0,2,2,1,0,0,0,1,2,+6
gibsoda01,35:18,4,7,.571,1,4,.250,12,12,1.000,0,3,3,2,2,0,4,4,21,+6
varejan01,20:02,1,2,.500,0,0,,0,2,.000,0,2,2,0,1,0,1,4,2,+6
marshdo01,11:01,3,5,.600,1,2,.500,0,0,,0,0,0,0,0,0,0,3,7,-3
jonesda01,7:38,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,3,0,+4
snower01,1:05,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,0,1,0
Team Totals,240,30,68,.441,4,14,.286,27,33,.818,3,31,34,16,8,1,12,23,91,
