Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,38:53,8,20,.400,1,5,.200,6,9,.667,1,7,8,8,1,0,2,4,23,+26
hughela01,34:56,1,6,.167,1,2,.500,2,4,.500,1,2,3,3,2,1,1,2,5,+1
ilgauzy01,29:03,2,5,.400,0,0,,2,2,1.000,2,4,6,1,0,0,3,3,6,-4
goodedr01,26:54,8,11,.727,0,0,,0,0,,2,5,7,0,0,0,2,2,16,+2
pavloal01,25:43,1,8,.125,1,3,.333,0,0,,0,1,1,3,3,0,2,2,3,-2
varejan01,21:19,3,3,1.000,0,0,,0,1,.000,2,4,6,0,0,1,1,3,6,+20
marshdo01,18:41,6,11,.545,6,10,.600,0,0,,0,5,5,0,0,0,1,4,18,+14
gibsoda01,17:40,3,8,.375,2,6,.333,0,0,,0,1,1,0,1,0,0,0,8,+18
snower01,14:51,1,3,.333,0,0,,1,2,.500,0,2,2,1,2,0,0,3,3,-10
jonesda01,12:00,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,1,0,+15
Team Totals,240,33,76,.434,11,27,.407,11,18,.611,8,32,40,18,9,2,12,24,88,
New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jefferi01,45:12,7,16,.438,0,2,.000,2,2,1.000,0,8,8,2,0,1,3,2,16,-19
kiddja01,44:00,7,20,.350,1,7,.143,4,7,.571,2,10,12,8,2,0,0,1,19,-2
cartevi01,41:16,4,11,.364,0,2,.000,3,5,.600,2,3,5,4,1,1,5,3,11,-11
mooremi01,37:31,4,8,.500,0,0,,6,7,.857,1,6,7,1,2,0,2,3,14,+10
collija04,28:46,1,3,.333,0,0,,0,2,.000,0,2,2,1,0,0,2,3,2,-1
wrighan01,16:19,2,4,.500,1,1,1.000,2,2,1.000,1,0,1,0,0,0,0,1,7,-9
nachbbo01,15:40,1,2,.500,1,2,.500,0,0,,1,4,5,0,1,0,2,1,3,-18
houseed01,4:36,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,2,0,-11
boonejo01,3:43,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-12
willima03,1:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
adamsha01,1:12,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,26,69,.377,3,16,.188,17,25,.680,7,35,42,17,6,2,15,16,72,
