Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,41:35,7,20,.350,2,6,.333,8,15,.533,2,9,11,9,0,0,2,5,24,-3
ilgauzy01,36:16,6,14,.429,0,0,,4,6,.667,1,6,7,4,0,2,1,1,16,+11
snower01,31:18,2,7,.286,0,1,.000,2,2,1.000,1,3,4,7,1,0,3,3,6,+7
hendeal01,28:51,7,9,.778,0,0,,2,4,.500,6,6,12,1,2,1,2,2,16,-2
newblir01,14:41,0,4,.000,0,1,.000,1,2,.500,2,0,2,0,0,0,1,3,1,+2
jonesda01,31:47,2,3,.667,1,1,1.000,2,2,1.000,0,4,4,2,1,0,0,1,7,-7
marshdo01,23:57,4,10,.400,1,5,.200,0,0,,2,4,6,0,1,1,1,2,9,-9
pavloal01,18:45,4,8,.500,1,2,.500,0,2,.000,0,1,1,0,0,0,1,5,9,+4
varejan01,6:58,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
wilksmi01,5:52,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,2,0,1,-7
Team Totals,240,32,77,.416,5,16,.313,20,35,.571,14,33,47,23,5,4,13,23,89,
Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
millean02,38:57,7,13,.538,0,0,,0,0,,2,5,7,6,0,0,2,3,14,-1
anthoca01,38:30,7,16,.438,0,1,.000,3,5,.600,0,1,1,3,0,2,3,4,17,+7
martike01,37:01,3,16,.188,0,0,,10,12,.833,6,11,17,0,0,0,2,4,16,-4
watsoea01,29:37,1,7,.143,1,6,.167,1,2,.500,1,0,1,3,1,0,0,3,4,+2
elsonfr01,19:25,2,5,.400,0,0,,0,0,,1,5,6,1,0,0,0,5,4,+7
najered01,35:16,5,8,.625,1,1,1.000,5,6,.833,4,8,12,0,4,3,3,4,16,-7
boykiea01,28:22,5,13,.385,2,2,1.000,5,5,1.000,2,1,3,0,1,0,0,0,17,+9
buckngr01,12:46,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-8
kleizli01,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,31,80,.388,4,11,.364,24,30,.800,16,32,48,13,6,5,10,23,90,
