Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
murphtr01,42:19,6,14,.429,4,7,.571,3,4,.750,3,12,15,5,2,0,2,2,19,+8
rushbr01,41:58,5,10,.500,2,3,.667,1,2,.500,0,2,2,2,2,4,4,2,13,-3
watsoea01,37:42,4,9,.444,1,4,.250,0,0,,0,3,3,3,2,0,3,0,9,-1
jonesda02,29:22,5,8,.625,0,0,,0,0,,0,2,2,6,1,0,2,2,10,-21
hibbero01,28:02,8,12,.667,0,0,,4,4,1.000,3,2,5,2,0,0,1,4,20,-6
priceaj01,22:18,6,15,.400,2,7,.286,0,1,.000,0,4,4,6,1,1,1,3,14,+7
dunlemi02,20:34,2,7,.286,1,3,.333,2,2,1.000,0,2,2,4,0,1,1,0,7,-5
jonesso01,16:07,1,3,.333,0,0,,0,0,,0,4,4,0,0,0,1,3,2,0
mcrobjo01,1:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-4
Team Totals,240,37,78,.474,10,24,.417,10,13,.769,6,31,37,28,8,6,15,18,94,
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,38:43,11,24,.458,2,4,.500,8,10,.800,1,8,9,9,3,2,6,2,32,+14
jamisan01,34:40,7,12,.583,2,4,.500,1,2,.500,2,7,9,0,1,0,1,1,17,+12
willima01,34:13,3,5,.600,0,1,.000,1,1,1.000,0,3,3,7,1,0,3,1,7,+3
parkean01,30:12,1,7,.143,0,4,.000,0,0,,2,2,4,3,2,0,0,2,2,+20
hicksjj01,20:04,6,10,.600,0,0,,1,2,.500,0,2,2,0,0,0,0,1,13,+4
varejan01,27:56,6,9,.667,0,0,,1,1,1.000,1,3,4,2,1,0,0,2,13,+1
westde01,24:43,4,10,.400,0,2,.000,1,2,.500,1,3,4,2,1,0,1,0,9,-4
willija04,19:41,1,3,.333,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-19
powele01,9:48,1,3,.333,0,0,,1,2,.500,1,1,2,0,0,0,0,2,3,-6
Team Totals,240,40,83,.482,5,16,.313,14,20,.700,8,30,38,23,9,2,11,11,99,
