Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
butleca01,38:18,3,9,.333,0,0,,2,2,1.000,0,4,4,3,1,0,2,4,8,-22
youngni01,36:38,5,18,.278,2,6,.333,2,2,1.000,2,1,3,3,1,0,0,4,14,-19
jamisan01,28:16,7,15,.467,3,4,.750,9,10,.900,0,2,2,1,1,0,0,3,26,-16
boykiea01,18:55,5,7,.714,0,0,,0,0,,0,1,1,6,0,1,0,0,10,-8
obertfa01,11:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,4,0,-4
foyera01,29:05,8,12,.667,2,5,.400,0,0,,0,2,2,2,0,0,3,2,18,-15
haywobr01,27:12,1,4,.250,0,0,,2,4,.500,2,5,7,0,0,3,1,4,4,-18
blatcan01,19:44,5,14,.357,0,0,,0,0,,2,1,3,1,2,0,3,2,10,-7
stevede01,14:51,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,1,1,0,3,-4
mcgeeja01,9:42,1,2,.500,0,0,,1,2,.500,0,2,2,0,0,0,0,1,3,-1
mcguido01,6:13,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,0,0,2,-1
Team Totals,240,37,84,.440,8,16,.500,16,20,.800,7,21,28,16,5,5,10,24,98,
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,30:50,7,12,.583,1,4,.250,8,11,.727,2,5,7,8,1,2,1,0,23,+16
willima01,28:02,3,6,.500,1,2,.500,0,0,,0,2,2,4,2,0,2,0,7,+6
hicksjj01,26:34,3,5,.600,0,0,,2,2,1.000,1,5,6,1,0,2,1,2,8,+11
parkean01,21:51,6,8,.750,4,5,.800,0,1,.000,0,0,0,1,0,2,2,0,16,+10
onealsh01,17:23,6,9,.667,0,0,,5,7,.714,1,5,6,1,0,1,2,3,17,-1
varejan01,26:40,3,5,.600,0,1,.000,6,6,1.000,2,6,8,3,1,1,0,3,12,+22
willija04,24:53,3,9,.333,1,4,.250,0,0,,0,1,1,4,1,0,0,1,7,+18
westde01,24:39,5,7,.714,2,2,1.000,2,2,1.000,0,4,4,6,1,1,1,0,14,+21
ilgauzy01,18:17,5,8,.625,1,1,1.000,1,1,1.000,2,6,8,0,0,0,2,2,12,+13
gibsoda01,9:39,0,3,.000,0,2,.000,0,0,,0,0,0,1,1,0,1,1,0,-3
jacksda01,6:13,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,2,1,0,+1
greenda02,4:59,2,2,1.000,1,1,1.000,0,0,,1,0,1,0,1,0,0,0,5,+1
Team Totals,240,43,75,.573,11,22,.500,24,30,.800,9,35,44,29,8,9,14,13,121,
