Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,44:25,6,17,.353,2,4,.500,11,11,1.000,0,8,8,7,2,0,1,0,25,+7
boshch01,42:08,8,16,.500,1,2,.500,3,4,.750,5,14,19,4,1,2,2,3,20,+10
wadedw01,35:33,5,7,.714,0,0,,0,0,,1,3,4,5,0,0,4,3,10,+6
chalmma01,23:33,3,6,.500,0,1,.000,3,3,1.000,0,1,1,3,0,0,3,2,9,+1
hasleud01,17:17,2,3,.667,0,0,,0,0,,0,0,0,1,1,0,1,0,4,0
coleno01,24:27,6,7,.857,3,3,1.000,3,3,1.000,0,2,2,1,0,0,0,2,18,+9
allenra02,22:45,1,6,.167,0,5,.000,2,3,.667,0,1,1,0,0,0,0,0,4,+17
battish01,19:02,2,5,.400,2,5,.400,3,4,.750,0,0,0,0,0,0,0,6,9,-4
anderch01,10:50,2,3,.667,0,0,,1,2,.500,3,1,4,0,0,2,1,4,5,+4
Team Totals,240,35,70,.500,8,20,.400,26,30,.867,9,30,39,21,4,4,12,20,104,
Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
butleji01,48:00,6,12,.500,2,3,.667,3,3,1.000,0,5,5,3,3,0,2,5,17,-10
belinma01,43:03,5,13,.385,4,9,.444,2,4,.500,0,3,3,6,0,0,3,6,16,-3
noahjo01,42:22,6,12,.500,0,0,,3,5,.600,7,4,11,4,2,2,0,6,15,-14
robinna01,42:06,5,13,.385,1,7,.143,6,8,.750,1,5,6,7,2,1,3,3,17,-13
boozeca01,28:52,10,16,.625,0,1,.000,1,2,.500,1,3,4,0,0,0,3,4,21,-1
gibsota01,22:15,2,9,.222,0,1,.000,2,3,.667,2,3,5,0,0,1,0,3,6,-8
teaguma01,10:51,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,2,2,-4
mohamna01,2:31,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+3
Team Totals,240,35,77,.455,7,22,.318,17,25,.680,11,26,37,21,7,4,11,30,94,
