Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,42:15,16,29,.552,1,4,.250,4,6,.667,1,6,7,12,2,2,5,3,37,+13
boshch01,36:51,6,10,.600,0,1,.000,1,2,.500,0,5,5,2,0,2,1,0,13,+20
chalmma01,36:34,6,10,.600,4,5,.800,5,6,.833,1,2,3,2,2,1,2,2,21,+14
wadedw01,35:31,7,15,.467,0,0,,2,5,.400,1,6,7,6,3,0,2,2,16,+13
hasleud01,17:27,2,4,.500,0,0,,0,0,,2,3,5,1,0,0,0,5,4,+3
allenra02,30:10,2,6,.333,0,3,.000,2,2,1.000,2,3,5,1,2,0,1,0,6,-5
battish01,16:30,2,5,.400,2,5,.400,0,0,,1,3,4,0,0,2,0,2,6,-15
coleno01,13:55,1,6,.167,0,2,.000,0,0,,0,0,0,1,2,0,1,1,2,-15
anderch01,10:49,0,0,,0,0,,0,0,,2,1,3,0,0,0,2,3,0,-18
Team Totals,240,42,85,.494,7,20,.350,14,21,.667,10,29,39,25,11,7,14,18,105,
Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
leeco01,40:15,6,10,.600,1,2,.500,0,0,,0,3,3,4,3,0,0,4,13,-4
greenje02,40:07,14,21,.667,5,7,.714,10,13,.769,1,6,7,2,2,4,2,2,43,+3
piercpa01,39:48,6,11,.545,2,5,.400,3,6,.500,1,7,8,8,1,1,7,2,17,-9
bradlav01,31:12,3,11,.273,1,2,.500,0,0,,1,2,3,2,0,1,4,3,7,-6
bassbr01,29:35,3,5,.600,0,0,,0,0,,1,4,5,1,1,0,1,4,6,-8
terryja01,24:21,4,6,.667,0,1,.000,1,1,1.000,0,2,2,4,2,0,4,5,9,+4
wilcoch01,17:55,0,1,.000,0,0,,0,0,,0,4,4,0,0,0,0,4,0,+6
crawfjo02,16:48,3,7,.429,1,4,.250,1,4,.250,0,1,1,3,0,1,2,2,8,+4
Team Totals,240,39,72,.542,10,21,.476,15,24,.625,4,29,33,24,9,7,20,26,103,
