Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
denglu01,45:52,9,17,.529,0,4,.000,8,11,.727,2,4,6,1,2,1,0,4,26,+1
rosede01,43:33,12,27,.444,1,2,.500,6,6,1.000,2,1,3,6,1,0,2,0,31,-6
hinriki01,43:07,4,9,.444,1,4,.250,3,4,.750,0,4,4,4,1,0,0,2,12,-6
noahjo01,42:45,4,7,.571,0,0,,0,0,,2,7,9,1,3,1,7,5,8,0
gibsota01,34:00,2,5,.400,0,0,,3,6,.500,2,9,11,1,0,1,0,6,7,+3
murraro01,12:19,3,5,.600,0,0,,0,0,,1,2,3,1,0,0,0,0,6,+6
millebr01,9:32,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,6,2,-6
warriha01,8:52,0,3,.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,0,2,-2
Team Totals,240,35,76,.461,2,10,.200,22,29,.759,10,29,39,15,7,3,9,23,94,
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,43:13,5,12,.417,1,2,.500,8,14,.571,3,7,10,9,0,2,3,1,19,+1
jamisan01,37:57,8,14,.571,3,7,.429,6,8,.750,0,5,5,1,2,1,2,4,25,+3
willima01,35:41,2,13,.154,2,7,.286,1,1,1.000,0,2,2,5,0,0,1,3,7,+1
onealsh01,26:16,7,9,.778,0,0,,0,1,.000,1,7,8,3,1,1,4,5,14,+8
parkean01,19:09,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,0,0,0,3,+2
westde01,30:31,6,11,.545,2,5,.400,2,2,1.000,0,2,2,4,1,0,1,2,16,+2
varejan01,27:22,2,7,.286,0,0,,1,2,.500,4,3,7,0,1,1,2,5,5,-3
moonja01,16:17,3,4,.750,1,2,.500,0,0,,0,2,2,1,1,1,0,1,7,-1
hicksjj01,3:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Team Totals,240,34,73,.466,10,26,.385,18,28,.643,8,29,37,23,6,6,13,21,96,
