Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
westde01,33:02,7,14,.500,1,7,.143,1,2,.500,1,2,3,1,3,0,0,1,16,+19
jamesle01,30:20,7,14,.500,3,7,.429,9,11,.818,0,4,4,1,1,1,1,0,26,+17
willima01,28:13,4,11,.364,0,4,.000,0,0,,1,5,6,6,3,0,1,3,8,+24
wallabe01,22:06,2,3,.667,0,0,,0,0,,3,2,5,0,0,5,1,0,4,+10
ilgauzy01,20:44,5,11,.455,0,0,,1,1,1.000,2,8,10,3,0,0,2,2,11,+13
gibsoda01,28:28,4,11,.364,2,8,.250,0,0,,1,3,4,7,0,0,1,1,10,+3
varejan01,20:48,5,7,.714,0,0,,1,4,.250,1,5,6,2,0,1,0,1,11,+15
szczewa02,19:26,6,9,.667,3,6,.500,0,0,,1,3,4,0,1,0,0,2,15,+18
hicksjj01,17:40,5,6,.833,0,0,,0,0,,1,1,2,0,1,1,0,2,10,+1
jacksda01,6:28,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,3,4,-10
pavloal01,6:28,0,1,.000,0,0,,1,2,.500,0,1,1,2,0,0,1,0,1,-10
kinseta01,6:17,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,1,0,3,-10
Team Totals,240,48,91,.527,10,33,.303,13,20,.650,12,36,48,22,9,8,8,15,119,
New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
duhonch01,40:55,5,10,.500,3,4,.750,1,2,.500,0,2,2,6,0,0,3,3,14,-22
richaqu01,39:58,8,19,.421,4,11,.364,2,2,1.000,2,2,4,1,0,0,1,3,22,-8
chandwi01,37:37,4,12,.333,0,3,.000,2,3,.667,3,3,6,3,2,1,4,3,10,-6
leeda02,33:11,5,8,.625,0,0,,2,3,.667,5,8,13,1,0,0,0,0,12,-4
robinna01,18:29,2,5,.400,0,1,.000,0,0,,0,3,3,1,0,0,2,0,4,-20
harrial01,27:16,5,16,.313,1,5,.200,2,2,1.000,3,6,9,3,1,0,4,4,13,-20
thomati01,23:47,4,9,.444,4,8,.500,4,5,.800,0,6,6,4,1,0,3,3,16,-3
roberan02,18:47,3,8,.375,1,5,.200,3,3,1.000,0,0,0,2,0,0,0,0,10,-7
Team Totals,240,36,87,.414,13,37,.351,16,20,.800,13,30,43,21,4,1,17,16,101,
