Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
walljo01,38:44,7,15,.467,1,2,.500,9,12,.750,1,2,3,12,0,0,4,2,24,+11
youngni01,36:57,12,19,.632,6,8,.750,8,8,1.000,0,3,3,1,1,0,2,3,38,+3
howarjo01,36:08,4,11,.364,1,4,.250,0,0,,0,5,5,3,0,0,0,6,9,-2
mcgeeja01,35:44,9,16,.563,0,0,,0,3,.000,6,11,17,0,1,0,1,4,18,-8
lewisra02,20:55,2,9,.222,1,3,.333,0,0,,2,2,4,1,1,1,1,3,5,+6
jianlyi01,16:30,2,3,.667,0,0,,0,0,,0,2,2,0,0,1,1,2,4,+7
evansma01,14:26,3,6,.500,1,4,.250,0,0,,1,1,2,0,0,0,2,2,7,-16
booketr01,11:48,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,2,-17
serapke01,11:03,2,4,.500,0,0,,0,0,,3,4,7,0,0,0,0,3,4,-4
bibbymi01,10:13,0,4,.000,0,2,.000,0,0,,0,0,0,4,0,0,1,1,0,-19
crawfjo02,7:32,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-1
Team Totals,240,43,91,.473,10,23,.435,17,23,.739,14,31,45,21,3,2,12,29,113,
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,42:46,5,11,.455,0,1,.000,15,19,.789,1,8,9,7,1,3,1,2,25,-4
boshch01,40:10,5,12,.417,0,0,,5,5,1.000,0,8,8,0,0,1,1,0,15,+11
wadedw01,39:30,18,27,.667,2,3,.667,3,9,.333,0,5,5,2,2,0,2,1,41,+10
chalmma01,32:37,5,9,.556,2,5,.400,2,2,1.000,1,2,3,3,1,0,1,4,14,-10
dampier01,21:55,2,2,1.000,0,0,,3,4,.750,0,2,2,1,0,1,1,4,7,-8
ilgauzy01,25:27,3,5,.600,0,0,,2,2,1.000,2,3,5,0,0,1,0,5,8,+16
houseed01,22:53,2,6,.333,1,2,.500,4,4,1.000,0,1,1,1,1,0,1,1,9,+16
jonesja02,12:07,1,5,.200,0,2,.000,0,0,,0,0,0,0,0,0,1,0,2,+9
howarju01,2:36,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0
Team Totals,240,41,78,.526,5,13,.385,34,45,.756,5,29,34,14,5,6,8,17,121,
