Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
hendege02,37:38,5,11,.455,0,1,.000,2,2,1.000,3,4,7,1,2,0,1,2,12,-9
tayloje03,28:23,4,8,.500,2,5,.400,0,0,,0,2,2,0,1,1,0,4,10,-10
biyombi01,23:23,1,4,.250,0,0,,0,0,,4,5,9,1,0,1,2,3,2,+2
walkeke02,22:01,4,9,.444,1,4,.250,2,2,1.000,2,1,3,3,2,0,3,5,11,+5
adrieje01,14:46,4,7,.571,0,0,,0,1,.000,0,3,3,1,0,1,2,2,8,+3
sessira01,35:46,4,9,.444,0,1,.000,10,10,1.000,0,3,3,2,1,1,2,2,18,-4
mulleby01,28:07,5,14,.357,2,5,.400,0,0,,2,7,9,1,2,1,2,1,12,-14
gordobe01,27:48,6,16,.375,2,7,.286,2,3,.667,1,0,1,4,0,0,1,4,16,-3
willire02,13:15,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,0,0,3,+4
haywobr01,8:54,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,2,+1
Team Totals,240,34,80,.425,8,25,.320,18,20,.900,12,28,40,13,8,5,13,24,94,
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,38:00,13,14,.929,0,0,,5,6,.833,0,8,8,8,2,0,5,1,31,+8
wadedw01,37:57,7,19,.368,0,1,.000,6,10,.600,6,6,12,4,1,2,5,3,20,+4
boshch01,29:57,11,18,.611,0,0,,1,3,.333,2,2,4,1,1,0,0,3,23,+1
chalmma01,21:05,1,6,.167,0,3,.000,1,1,1.000,0,1,1,2,0,1,0,3,3,0
hasleud01,17:56,1,2,.500,0,0,,0,0,,1,3,4,1,0,0,0,2,2,-2
coleno01,29:13,2,6,.333,0,0,,0,0,,1,1,2,5,0,0,0,2,4,+3
allenra02,26:09,2,8,.250,0,4,.000,3,3,1.000,0,0,0,1,1,2,0,2,7,+4
battish01,24:10,2,5,.400,1,4,.250,0,0,,1,1,2,0,0,0,0,1,5,+3
anderch01,15:33,2,3,.667,0,0,,0,1,.000,1,5,6,1,1,0,1,1,4,+4
Team Totals,240,41,81,.506,1,12,.083,16,24,.667,12,27,39,23,6,5,11,18,99,
