Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,40:45,12,27,.444,1,4,.250,7,15,.467,2,13,15,13,3,2,4,4,32,+4
goodedr01,38:53,2,11,.182,0,0,,4,4,1.000,4,5,9,0,2,1,2,5,8,-2
gibsoda01,36:30,4,5,.800,3,4,.750,1,1,1.000,1,2,3,3,4,0,3,6,12,+4
pavloal01,35:05,6,14,.429,1,4,.250,4,5,.800,0,1,1,0,1,0,4,4,17,+2
ilgauzy01,31:28,9,14,.643,0,0,,0,0,,7,7,14,0,0,4,2,4,18,+1
brownde02,25:56,2,8,.250,1,2,.500,3,4,.750,1,3,4,2,0,0,1,2,8,-6
jonesda01,22:31,2,6,.333,2,6,.333,0,0,,0,1,1,2,1,0,2,0,6,-8
jonesdw02,8:52,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,3,0,-5
Team Totals,240,37,85,.435,8,20,.400,19,29,.655,15,32,47,20,12,7,18,28,101,
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
willide01,44:52,4,12,.333,0,2,.000,7,8,.875,1,2,3,12,0,0,8,1,15,+5
boozeca01,39:13,10,19,.526,0,0,,3,3,1.000,3,9,12,1,0,1,2,3,23,+4
brewero02,37:45,4,9,.444,1,2,.500,7,8,.875,0,3,3,0,5,1,1,3,16,-2
okurme01,29:33,2,10,.200,0,1,.000,1,2,.500,1,9,10,4,0,0,1,2,5,+6
kirilan01,28:23,3,5,.600,0,0,,2,2,1.000,1,2,3,5,1,2,2,3,8,-5
millspa01,27:09,7,8,.875,0,0,,10,13,.769,2,3,5,1,5,1,2,6,24,-6
harprma01,13:49,3,6,.500,0,0,,4,4,1.000,1,4,5,1,1,0,0,2,10,+8
giricgo01,11:03,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,3,2,+3
hartja01,3:08,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-3
almonmo01,2:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,+3
pricero01,2:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
collija03,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0
Team Totals,240,34,74,.459,1,6,.167,34,40,.850,9,34,43,24,12,6,17,26,103,
