Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
davisri01,44:22,5,14,.357,4,7,.571,3,4,.750,0,4,4,7,3,0,3,4,17,+2
quinnch01,34:14,2,3,.667,1,1,1.000,4,6,.667,0,3,3,6,0,0,3,4,9,-3
blounma01,27:47,4,11,.364,0,0,,1,2,.500,0,2,2,0,0,1,0,2,9,-2
cookda02,25:45,4,8,.500,3,5,.600,2,2,1.000,1,4,5,0,0,0,1,6,13,-10
lasmest01,20:27,4,7,.571,0,0,,0,0,,0,3,3,0,0,1,0,2,8,+3
powelka01,30:03,1,5,.200,0,2,.000,0,0,,0,5,5,2,1,0,0,1,2,-6
barroea01,26:47,5,14,.357,0,0,,3,4,.750,1,7,8,0,3,0,2,3,13,-9
willija02,15:29,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,2,1,0,-4
anthojo01,15:06,1,2,.500,0,0,,3,4,.750,2,0,2,0,0,0,0,2,5,-11
Team Totals,240,26,66,.394,8,16,.500,16,22,.727,4,29,33,16,7,2,11,25,76,
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamesle01,35:15,3,9,.333,0,1,.000,7,9,.778,0,11,11,7,1,2,5,1,13,-3
ilgauzy01,30:00,6,18,.333,0,0,,2,2,1.000,6,8,14,1,0,1,2,2,14,+17
westde01,25:32,4,9,.444,3,3,1.000,7,8,.875,1,3,4,2,0,0,1,2,18,+2
brownde02,24:37,4,9,.444,1,3,.333,1,1,1.000,1,6,7,4,0,1,1,2,10,+13
wallabe01,20:50,1,2,.500,0,0,,0,2,.000,2,1,3,2,1,3,0,1,2,+7
gibsoda01,31:48,2,7,.286,2,6,.333,3,3,1.000,0,1,1,2,0,1,0,3,9,+12
varejan01,24:37,4,5,.800,0,0,,2,6,.333,0,4,4,0,0,0,2,4,10,-1
pavloal01,19:19,2,7,.286,0,1,.000,0,0,,2,1,3,2,0,0,0,1,4,+6
smithjo02,17:44,2,5,.400,0,0,,0,0,,3,1,4,0,0,0,0,1,4,-7
szczewa02,10:18,0,3,.000,0,0,,0,0,,0,2,2,0,1,0,1,1,0,-6
Team Totals,240,28,74,.378,6,14,.429,22,31,.710,15,38,53,20,3,8,12,18,84,
